Year,Northern Hemisphere Observed Temp (degrees C deviation from 1961-90 average)
2001,0.55
2000,0.4
1999,0.46
1998,0.66
1997,0.48
1996,0.22
1995,0.49
1994,0.31
1993,0.19
1992,0.12
1991,0.31
1990,0.42
1989,0.19
1988,0.27
1987,0.22
1986,0.08
1985,-0.09
1984,-0.04
1983,0.2
1982,-0.01
1981,0.24
1980,0.09
1979,0.05
1978,-0.04
1977,0.04
1976,-0.27
1975,-0.11
1974,-0.23
1973,0.05
1972,-0.2
1971,-0.18
1970,-0.05
1969,-0.02
1968,-0.04
1967,0.01
1966,-0.01
1965,-0.16
1964,-0.2
1963,0.14
1962,0.09
1961,0.03
1960,0.04
1959,0.05
1958,0.14
1957,0.01
1956,-0.25
1955,-0.06
1954,-0.07
1953,0.17
1952,0.03
1951,0.01
1950,-0.17
1949,0
1948,0.03
1947,-0.02
1946,0
1945,0.04
1944,0.22
1943,0.08
1942,0.02
1941,0
1940,-0.09
1939,0.05
1938,0.17
1937,0.06
1936,-0.06
1935,-0.12
1934,-0.07
1933,-0.24
1932,-0.06
1931,-0.01
1930,-0.05
1929,-0.36
1928,-0.16
1927,-0.15
1926,-0.03
1925,-0.15
1924,-0.28
1923,-0.26
1922,-0.28
1921,-0.14
1920,-0.29
1919,-0.36
1918,-0.42
1917,-0.52
1916,-0.38
1915,-0.12
1914,-0.24
1913,-0.41
1912,-0.48
1911,-0.41
1910,-0.38
1909,-0.4
1908,-0.43
1907,-0.53
1906,-0.21
1905,-0.34
1904,-0.44
1903,-0.41
1902,-0.36
1901,-0.17
1900,-0.15
1899,-0.17
1898,-0.27
1897,-0.2
1896,-0.21
1895,-0.38
1894,-0.37
1893,-0.48
1892,-0.42
1891,-0.32
1890,-0.37
1889,-0.14
1888,-0.27
1887,-0.27
1886,-0.25
1885,-0.36
1884,-0.4
1883,-0.35
1882,-0.24
1881,-0.25
1880,-0.27
1879,-0.24
1878,0.13
1877,-0.14
1876,-0.36
1875,-0.5
1874,-0.25
1873,-0.28
1872,-0.2
1871,-0.33
1870,-0.2
1869,-0.15
1868,-0.08
1867,-0.26
1866,-0.15
1865,-0.19
1864,-0.44
1863,-0.13
1862,-0.62
1861,-0.26
1860,-0.37
1859,-0.09
1858,-0.33
1857,-0.35
1856,-0.37
